0,"BON","United States of America Florida Bonita Springs","27069","United States of America Florida Bonita Springs"
4,"BOS","United States of America Massachusetts Boston","19931","United States of America Massachusetts Woburn"
3,"BOS","United States of America Massachusetts Boston","20076","United States of America Massachusetts Bristol"
4,"BOS","United States of America Massachusetts Boston","25585","United States of America Massachusetts Hudson"
4,"BOS","United States of America Massachusetts Boston","25671","United States of America Massachusetts Sharon"
4,"BOS","United States of America Massachusetts Boston","25681","United States of America Massachusetts Bourne"
3,"BOS","United States of America Massachusetts Boston","26035","United States of America Massachusetts Brockton"
3,"BOS","United States of America Massachusetts Boston","26417","United States of America Massachusetts Newton"
3,"BOS","United States of America Massachusetts Boston","26457","United States of America Massachusetts Acton"
0,"BOS","United States of America Massachusetts Boston","26848","United States of America Massachusetts Boston"
0,"BPK","United States of America California Buena Park","19767","United States of America California Buena Park"
0,"BQI","United States of America Minnesota Bloomington","25682","United States of America Minnesota Bloomington"
0,"BRG","United States of America Colorado Brighton","27049","United States of America Colorado Brighton"
0,"BRH","United States of America Utah Brian Head","26308","United States of America Utah Brian Head"
0,"BRN","United States of America California Brentwood","26683","United States of America California Brentwood"
0,"BRO","United States of America Texas South Padre Island","26210","United States of America Texas South Padre Island"
0,"BRP","Canada Ontario Brampton","20071","Canada Ontario Brampton"
4,"BRU","Brazil  Barueri","4524","Brazil  Barbelos"
3,"BRU","Brazil  Barueri","4837","Brazil  Barra"
4,"BRU","Brazil  Barueri","5353","Brazil  Mucuri"
4,"BRU","Brazil  Barueri","7102","Brazil  Juruena"
4,"BRU","Brazil  Barueri","59039","Brazil  Iriri"
0,"BTH","United States of America Maryland Bethesda","19759","United States of America Maryland Bethesda"
0,"BTM","United States of America Montana Butte","1404","United States of America Montana Butte"
0,"BTR","United States of America Louisiana Baton Rouge","3363","United States of America Louisiana Baton Rouge"
0,"BTV","United States of America Vermont Burlington","4169","United States of America Vermont Burlington"
0,"BUE","Argentina  Buenos Aires","807","Argentina  Buenos Aires"
4,"BUL","United States of America Utah Bullfrog","79408","United States of America Utah Ballard"
4,"BUL","United States of America Utah Bullfrog","79709","United States of America Utah Ballard"
4,"BUP","Canada Quebec Beaupre","6387","Canada Quebec Gaspe"
0,"BUP","Canada Quebec Beaupre","35547","Canada Quebec Beaupre"
0,"BUR","United States of America California Burbank","25676","United States of America California Burbank"
0,"BVU","United States of America Washington Bellevue","26819","United States of America Washington Bellevue"
0,"BWI","United States of America Maryland Baltimore","1460","United States of America Maryland Baltimore"
0,"BZC","Brazil  Buzios","3426","Brazil  Buzios"
0,"BZN","United States of America Montana Bozeman","4022","United States of America Montana Bozeman"
0,"BZV","United States of America Missouri Branson West","42820","United States of America Missouri Branson West"
0,"CAB","Dominican Republic  Cabarete","10265","Dominican Republic  Cabarete"
0,"CAC","Brazil  Cascavel","7503","Brazil  Cascavel"
0,"CAE","United States of America South Carolina Columbia","1426","United States of America South Carolina Columbia"
4,"CAH","United States of America  CARMEL","1851","United States of America  Hayden"
4,"CAH","United States of America  CARMEL","4320","United States of America  Alma"
4,"CAH","United States of America  CARMEL","4631","United States of America  Borger"
3,"CAH","United States of America  CARMEL","5041","United States of America  Cortez"
4,"CAH","United States of America  CARMEL","5231","United States of America  Kearney"
4,"CAH","United States of America  CARMEL","5343","United States of America  Kamuela"
4,"CAH","United States of America  CARMEL","5888","United States of America  Salem"
4,"CAH","United States of America  CARMEL","5961","United States of America  Hailey"
4,"CAH","United States of America  CARMEL","6231","United States of America  Vernal"
4,"CAH","United States of America  CARMEL","9139","United States of America  Torrey"
4,"CAH","United States of America  CARMEL","19833","United States of America  Rye"
4,"CAH","United States of America  CARMEL","19855","United States of America  Marana"
4,"CAH","United States of America  CARMEL","19924","United States of America  Wayne"
3,"CAH","United States of America  CARMEL","19935","United States of America  Warren"
4,"CAH","United States of America  CARMEL","19987","United States of America  Emmet"
4,"CAH","United States of America  CARMEL","20032","United States of America  Bergen"
4,"CAH","United States of America  CARMEL","20058","United States of America  Burke"
3,"CAH","United States of America  CARMEL","20081","United States of America  Charles"
4,"CAH","United States of America  CARMEL","20083","United States of America  Chaffee"
3,"CAH","United States of America  CARMEL","20086","United States of America  Dare"
4,"CAH","United States of America  CARMEL","20090","United States of America  Dane"
4,"CAH","United States of America  CARMEL","20105","United States of America  Drew"
4,"CAH","United States of America  CARMEL","20183","United States of America  Harnett"
4,"CAH","United States of America  CARMEL","20214","United States of America  Hall"
4,"CAH","United States of America  CARMEL","20226","United States of America  Gilmer"
3,"CAH","United States of America  CARMEL","20258","United States of America  Cabell"
4,"CAH","United States of America  CARMEL","20261","United States of America  Calvert"
3,"CAH","United States of America  CARMEL","20275","United States of America  Cache"
4,"CAH","United States of America  CARMEL","20281","United States of America  Cassia"
4,"CAH","United States of America  CARMEL","20289","United States of America  Cole"
4,"CAH","United States of America  CARMEL","20291","United States of America  Coles"
3,"CAH","United States of America  CARMEL","20295","United States of America  Comal"
4,"CAH","United States of America  CARMEL","20307","United States of America  Clark"
4,"CAH","United States of America  CARMEL","20314","United States of America  Clarion"
4,"CAH","United States of America  CARMEL","20322","United States of America  Craven"
4,"CAH","United States of America  CARMEL","20323","United States of America  Crisp"
4,"CAH","United States of America  CARMEL","20349","United States of America  Ramsey"
4,"CAH","United States of America  CARMEL","20371","United States of America  Lake"
4,"CAH","United States of America  CARMEL","20415","United States of America  Martin"
4,"CAH","United States of America  CARMEL","20429","United States of America  Marin"
4,"CAH","United States of America  CARMEL","20464","United States of America  Mercer"
4,"CAH","United States of America  CARMEL","20500","United States of America  Payne"
4,"CAH","United States of America  CARMEL","20545","United States of America  Sarpy"
4,"CAH","United States of America  CARMEL","20560","United States of America  Cecil"
3,"CAH","United States of America  CARMEL","20650","United States of America  Ware"
3,"CAH","United States of America  CARMEL","20659","United States of America  Warren"
4,"CAH","United States of America  CARMEL","20764","United States of America  Ashe"
4,"CAH","United States of America  CARMEL","20774","United States of America  Carlisle"
4,"CAH","United States of America  CARMEL","22042","United States of America  Alger"
4,"CAH","United States of America  CARMEL","22067","United States of America  Harlan"
4,"CAH","United States of America  CARMEL","22094","United States of America  Lapeer"
4,"CAH","United States of America  CARMEL","22095","United States of America  Cooper"
